MedID,Medication
1184,Amcinonide (200 mg)
1185,Amifostine (150 mg)
1186,Amifostine Disulfide (100 mg)
1187,Amifostine Thiol (50 mg) (2-[(3-aminopropyl)amino]ethanethiol -  dihydrochloride)
1188,Amikacin (300 mg)
1189,Amikacin Sulfate (100 mg)
1190,Amiloride Hydrochloride (500 mg)
1191,Amiloride Related Compound A (30 mg) (Methyl 3 - 5-diamino-6-chloropyrazine-2-carboxylate)
1192,Amiloxate (Isoamyl Methoxycinnamate) (750 mg/ampule)
1193,Amino Methacrylate Copolymer (1.5 g)
1194,Aminobenzoate Potassium (200 mg)
1195,Aminobenzoate Sodium (200 mg)
1196,Aminobenzoic Acid (200 mg) (p-aminobenzoic acid)
1197,Aminobutanol (500 mg) (1-Butanol -  2-amino- -  (+/-)-)
1198,Aminocaproic Acid (200 mg)
1199,Aminoglutethimide (200 mg)
1200,Aminohippuric Acid (200 mg)
1201,Aminolevulinic Acid Hydrochloride (200 mg)
1202,Aminolevulinic Acid Related Compound A (25 mg) (3 - 3'-(Pyrazine-2 - 5-diyl)dipropionic acid)
1203,Aminolevulinic Acid Related Compound B (25 mg) (Methyl 5-(1 - 3-dioxoisoindolin-2-yl)-4-oxopentanoate)
1204,Aminopentamide Sulfate (200 mg)
1205,Aminosalicylic Acid (125 mg)
1206,Aminotriazinone (300 mg) (3-Amino-1 - 2 - 4-triazin-5(2H)-one)
1207,Amiodarone Hydrochloride (200 mg)
1208,Amiodarone Related Compound D (20 mg) ((2-butylbenzofuran-3-yl)(4-hydroxy-3 - 5-diiodophenyl)methanone)
1209,Amiodarone Related Compound E (25 mg) ((2-butylbenzofuran-3-yl)(4-hydroxyphenyl)methanone)
1210,Amiodarone Related Compound H (20 mg) (2-chloro-N - N-diethylethanamine hydrochloride)
1211,Amitraz (200 mg) (COLD SHIPMENT REQUIRED)
1212,Amitraz Related Compound A (40 mg) (N-(2 - 4-Dimethylphenyl)formamide)
1213,Amitraz Related Compound B (40 mg) (N'-(2 - 4-Dimethylphenyl)-N-methylformimidamide) (COLD SHIPMENT REQUIRED)
1214,Amitraz Related Compound C (40 mg) (N - N'-Bis(2 - 4-dimethylphenyl)formimidamide) (COLD SHIPMENT REQUIRED)
1215,Amitriptyline Hydrochloride (200 mg)
1216,Amitriptyline Related Compound A (25 mg) (dibenzosuberone)
1217,Amitriptyline Related Compound B (25 mg) (5-[3-(dimethylamino)propyl]-10 - 11-dihydro-5H-dibenzo[a - d]-cyclohepten-5-ol)
1218,Amlodipine Besylate (350 mg)
1219,Amlodipine Related Compound A (25 mg) (3-Ethyl 5-methyl [2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-3 - 5-pyridinedicarboxylate] fumarate)
1220,Amlodipine Related Compound C (25 mg) (Dimethyl 4-(2-chlorophenyl)-2 - 6-dimethyl-1 - 4-dihydropyridine-3 - 5-dicarboxylate)
1221,Amlodipine Related Compound D (25 mg) (3-Ethyl 5-methyl 4-(2-chlorophenyl)-2-{[2-(1 - 3-dioxoisoindolin-2-yl)ethoxy]methyl}-6-methyl-1 - 4-dihydropyridine-3 - 5-dicarboxylate)
1222,Amlodipine Related Compound K (25 mg) (Ethyl 6-(2-chlorophenyl)-8-methyl-3 - 4 - 6 - 7-tetrahydro-2H-benzo[b][1 - 4]oxazine-5-carboxylate)
1223,Ammonio Methacrylate Copolymer Type A (500 mg)
1224,Ammonio Methacrylate Copolymer Type B (500 mg)
1225,Ammonium Carbonate (2 g) (AS)
1226,Ammonium Chloride (200 mg)
1227,Ammonium Glycyrrhizate (100 mg)
1228,Ammonium Phosphate Dibasic (1 g) (AS)
1229,Ammonium Salts of Phosphatidic Acid (1.5 g)
1230,Amobarbital CII (200 mg)
1231,Amodiaquine Hydrochloride (500 mg)
1232,Amoxapine (200 mg)
1233,Amoxapine Related Compound D (50 mg) (2-Chlorodibenzo[b - f]-[1 - 4]-oxazepin-11-one)
1234,Amoxapine Related Compound G (50 mg) (3-Chloro-11-(piperazin-1-yl)dibenzo[b - f][1 - 4]oxazepine)
1235,Amoxicillin (200 mg)
1236,Amoxicillin Related Compound A (15 mg) ((2S - 5R - 6R)-6-Amino-3 - 3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid)
1237,Amoxicillin Related Compound B (15 mg) (L-amoxicillin)
1238,Amoxicillin Related Compound C (15 mg) ((4S)-2-[5-(4-hydroxyphenyl)-3 - 6-dioxopiperazin-2-yl]-5 - 5-dimethylthiazolidine-4-carboxylic acid)
1239,Amoxicillin Related Compound D (50 mg) ((4S)-2-{[(R)-2-amino-2-(4-hydroxyphenyl)acetamido](carboxy)methyl}-5 - 5-dimethylthiazolidine-4-carboxylic acid -  monosodium salt)
1240,Amoxicillin Related Compound F (15 mg) (3-(4-Hydroxyphenyl)pyrazin-2-ol; phenylpyrazinediol)
1241,Amoxicillin Related Compound G (15 mg) ((2S - 5R - 6R)-6-{(R)-2-[(R)-2-Amino-2-(4-hydroxyphenyl)acetamido]-2-(4-hydroxyphenyl)acetamido}-3 - 3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid)
1242,Amoxicillin Related Compound H (15 mg) ((R)-2-(4-hydroxyphenyl)-2-pivalamidoacetic acid)
