col_zero,col_one,col_two,col_three,col_four
vdx_ophthalmology,Diplopia,Symptoms,Photophobia,
vdx_ophthalmology,Diplopia,Symptoms,Excessive tearing,
vdx_ophthalmology,Diplopia,Symptoms,Conjunctival injection,
vdx_ophthalmology,Diplopia,Symptoms,Papilledema,
vdx_ophthalmology,Diplopia,Symptoms,Proptosis,
vdx_ophthalmology,Diplopia,Symptoms,Eyelid ptosis,
vdx_ophthalmology,Diplopia,Other Symptoms,Fever,
vdx_ophthalmology,Diplopia,Other Symptoms,Headache,
vdx_ophthalmology,Diplopia,Other Symptoms,Unexplained weight loss,
vdx_ophthalmology,Diplopia,Other Symptoms,Purulent nasal discharge,
vdx_ophthalmology,Diplopia,Other Symptoms,Ataxia,
vdx_ophthalmology,Diplopia,Other Symptoms,Generalized weakness,
vdx_ophthalmology,Diplopia,Other Symptoms,Nausea,
vdx_ophthalmology,Diplopia,Other Symptoms,Vomiting,
vdx_ophthalmology,Diplopia,Other Symptoms,Mental status alteration,
vdx_ophthalmology,Diplopia,Other Symptoms,Seizures,
vdx_ophthalmology,Diplopia,Nagetive Findings,No skin findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No cardiovascular findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No dysmorphologic/malformation features,
vdx_ophthalmology,Diplopia,Nagetive Findings,No gastrointestinal findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No HEENT findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No musculoskeletal findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No neurologic findings,
vdx_ophthalmology,Diplopia,Nagetive Findings,No medication use (prescription or OTC),
vdx_ophthalmology,Diplopia,Nagetive Findings,No respiratory findings,
vdx_ophthalmology,Conjunctival injection,Onset Findings,Developed rapidly (minutes to hours),
vdx_ophthalmology,Conjunctival injection,Onset Findings,Developed acutely (days to weeks),
vdx_ophthalmology,Conjunctival injection,Onset Findings,Developed chronically (months to years),
vdx_ophthalmology,Conjunctival injection,Onset Findings,Recurring episodes or relapses,
vdx_ophthalmology,Conjunctival injection,Onset Findings,Present at birth,
vdx_ophthalmology,Conjunctival injection,Appearance of the Patient,Patient appears well,
vdx_ophthalmology,Conjunctival injection,Appearance of the Patient,Patient appears ill,
vdx_ophthalmology,Conjunctival injection,Appearance of the Patient,Patient appears systemically ill - toxic,
vdx_ophthalmology,Conjunctival injection,Appearance of the Patient,None,
vdx_ophthalmology,Conjunctival injection,Symptoms,Ocular pain,
vdx_ophthalmology,Conjunctival injection,Symptoms,Excessive tearing,
vdx_ophthalmology,Conjunctival injection,Symptoms,Eye discharge,
vdx_ophthalmology,Conjunctival injection,Symptoms,Visual impairment,Visual impairment
vdx_ophthalmology,Conjunctival injection,Symptoms,Visual impairment,Blurred vision
vdx_ophthalmology,Conjunctival injection,Symptoms,Visual impairment,Blindness
vdx_ophthalmology,Conjunctival injection,Symptoms,Visual impairment,Diplopia
vdx_ophthalmology,Conjunctival injection,Symptoms,Visual impairment,Vision loss
vdx_ophthalmology,Conjunctival injection,Symptoms,Photophobia,
vdx_ophthalmology,Conjunctival injection,Symptoms,Ocular pruritus,
vdx_ophthalmology,Conjunctival injection,Symptoms,Xerophthalmia,
vdx_ophthalmology,Conjunctival injection,Symptoms,Diplopia,
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Papillae
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Nodule
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Symblepharon
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Palpebral Conjunctival Injection
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Conjunctiva Abnormality,Conjunctival Pigmentation
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Madarosis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelash Abnormality,Eyelash Color Change
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelash Abnormality,Trichiasis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Miosis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Mydriasis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Pupil Shape Abnormal
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Lens Abnormality
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Pupil / Lens / Iris Abnormality,Iris Abnormality
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Peripheral Lesion
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Pigmented Lesion
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Diffuse White Infiltrate
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Focal White Infiltrate
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Dendritic Ulcer
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Small Punctate White Spots
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Ulcer
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Hypopyon
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Conjunctival Injection
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Hemorrhage
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Defect Or Ulceration
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Bulbar Conjunctival Plaque
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Color Change
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Bulbar Conjunctiva Pigmented Macule
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Cyst
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Edema
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Eyelid Ptosis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Eyelid Retraction
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Ectropion
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Entropion
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Motility Disorder
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Proptosis
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Enophthalmos
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Eyelid Edema
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Orbital Displacement
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Optic Disc / Nerve Abnormality
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Retinal Vascular Abnormality
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Macula Abnormality
vdx_ophthalmology,Conjunctival injection,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Vitreous Abnormality
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Headache,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Fever,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Hypertension,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Arthralgia,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Generalized lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Axillary lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Cervical lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Inguinal lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Occipital lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Preauricular lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Lymphadenopathy,Hilar lymphadenopathy
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Sore throat,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Rhinorrhea,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Rash or multiple lesions,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Vesicle,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Painful skin lesions,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Nausea,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Vomiting,
vdx_ophthalmology,Conjunctival injection,Symptoms & Signs,Diarrhea,
